Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port
1745876528.219112,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876528.515872,13.89.178.27,192.168.12.167,TCP,443,62024
1745876528.851969,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876528.89861,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876529.243267,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876529.448467,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876529.653303,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876529.736735,18.214.173.230,192.168.12.167,TCP,443,61990
1745876529.736846,192.168.12.167,18.214.173.230,TCP,61990,443
1745876529.782788,18.214.173.230,192.168.12.167,TCP,443,61989
1745876529.782955,192.168.12.167,18.214.173.230,TCP,61989,443
1745876529.8576,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876529.859884,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876529.96027,192.168.12.141,224.0.0.251,UDP,5353,5353
1745876529.960824,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876530.166179,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876530.166599,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876530.648786,192.168.12.167,192.168.12.1,UDP,51544,53
1745876530.648786,192.168.12.167,192.168.12.1,UDP,55907,53
1745876530.654558,192.168.12.1,192.168.12.167,UDP,53,51544
1745876530.654558,192.168.12.1,192.168.12.167,UDP,53,55907
1745876531.190114,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876531.190468,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876531.468653,192.168.12.167,18.214.173.230,TCP,61989,443
1745876531.468662,192.168.12.167,18.214.173.230,TCP,61990,443
1745876531.516725,18.214.173.230,192.168.12.167,TCP,443,61989
1745876531.521678,18.214.173.230,192.168.12.167,TCP,443,61990
1745876531.656389,192.168.12.167,65.52.241.40,TCP,61988,443
1745876531.72511,65.52.241.40,192.168.12.167,TCP,443,61988
1745876531.906692,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876532.210536,192.168.12.167,44.213.176.173,TCP,62057,443
1745876532.212848,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876532.255379,192.168.12.167,15.156.30.95,TCP,61608,443
1745876532.255471,192.168.12.167,15.156.30.95,TCP,61608,443
1745876532.258543,44.213.176.173,192.168.12.167,TCP,443,62057
1745876532.326254,15.156.30.95,192.168.12.167,TCP,443,61608
1745876532.326254,15.156.30.95,192.168.12.167,TCP,443,61608
1745876532.326254,15.156.30.95,192.168.12.167,TCP,443,61608
1745876532.326254,15.156.30.95,192.168.12.167,TCP,443,61608
1745876532.326569,192.168.12.167,15.156.30.95,TCP,61608,443
1745876532.327468,192.168.12.167,15.156.30.95,TCP,61608,443
1745876532.430206,15.156.30.95,192.168.12.167,TCP,443,61608
1745876533.01529,192.168.12.167,3.17.45.182,TCP,59804,443
1745876533.031921,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876533.067501,3.17.45.182,192.168.12.167,TCP,443,59804
1745876533.122287,192.168.12.167,3.17.45.182,TCP,59804,443
1745876533.134992,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876533.23697,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876533.544329,140.82.112.6,192.168.12.167,TCP,443,62063
1745876533.544329,140.82.112.6,192.168.12.167,TCP,443,62063
1745876533.544329,140.82.112.6,192.168.12.167,TCP,443,62063
1745876533.544613,192.168.12.167,140.82.112.6,TCP,62063,443
1745876533.544701,192.168.12.167,140.82.112.6,TCP,62063,443
1745876533.544868,192.168.12.167,140.82.112.6,TCP,62063,443
1745876533.580928,140.82.112.6,192.168.12.167,TCP,443,62063
1745876534.020394,192.168.12.167,3.17.45.182,TCP,59848,443
1745876534.020794,192.168.12.167,3.17.45.182,TCP,59852,443
1745876534.07604,3.17.45.182,192.168.12.167,TCP,443,59848
1745876534.07604,3.17.45.182,192.168.12.167,TCP,443,59852
1745876534.126574,192.168.12.167,3.17.45.182,TCP,59852,443
1745876534.126575,192.168.12.167,3.17.45.182,TCP,59848,443
1745876534.158583,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876535.284914,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876535.47171,192.168.12.167,51.105.71.136,TCP,62039,443
1745876535.60593,51.105.71.136,192.168.12.167,TCP,443,62039
1745876535.606162,192.168.12.167,51.105.71.136,TCP,62039,443
1745876535.901104,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876536.206545,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876537.151491,40.71.11.167,192.168.12.167,TCP,443,62030
1745876537.151825,192.168.12.167,40.71.11.167,TCP,62030,443
1745876537.230669,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876538.152149,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876539.176172,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876540.200196,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876540.405042,192.168.12.141,224.0.0.251,UDP,5353,5353
1745876540.695309,192.168.12.167,134.224.240.221,TCP,59812,443
1745876540.787506,134.224.240.221,192.168.12.167,TCP,443,59812
1745876541.224124,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876541.429203,192.168.12.141,224.0.0.251,UDP,5353,5353
1745876542.043525,192.168.12.116,224.0.0.251,UDP,5353,5353
1745876542.248304,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876543.014805,192.168.12.167,3.17.45.182,TCP,59804,443
1745876543.100047,3.17.45.182,192.168.12.167,TCP,443,59804
1745876543.147941,192.168.12.167,3.17.45.182,TCP,59804,443
1745876543.169981,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876544.013551,192.168.12.167,3.17.45.182,TCP,59848,443
1745876544.013729,192.168.12.167,3.17.45.182,TCP,59852,443
1745876544.071075,3.17.45.182,192.168.12.167,TCP,443,59848
1745876544.071075,3.17.45.182,192.168.12.167,TCP,443,59852
1745876544.115302,192.168.12.167,3.17.45.182,TCP,59852,443
1745876544.115307,192.168.12.167,3.17.45.182,TCP,59848,443
1745876544.193947,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876544.206225,20.189.173.6,192.168.12.167,TCP,443,62035
1745876545.067562,140.82.114.21,192.168.12.167,TCP,443,62038
1745876545.067562,140.82.114.21,192.168.12.167,TCP,443,62038
1745876545.067562,140.82.114.21,192.168.12.167,TCP,443,62038
1745876545.067894,192.168.12.167,140.82.114.21,TCP,62038,443
1745876545.067968,192.168.12.167,140.82.114.21,TCP,62038,443
1745876545.068355,192.168.12.167,140.82.114.21,TCP,62038,443
1745876545.068656,192.168.12.167,140.82.114.21,TCP,62038,443
1745876545.110554,140.82.114.21,192.168.12.167,TCP,443,62038
1745876545.217413,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876546.241954,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876546.366612,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.510794,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.511053,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.512114,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.658068,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.658068,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.658068,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.658068,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.658068,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.658394,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.658492,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.658564,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.658641,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.658762,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.6635,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.789047,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.78937,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.789568,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.803931,192.168.12.1,192.168.12.167,TCP,53,50064
1745876546.803931,192.168.12.1,192.168.12.167,TCP,53,50065
1745876546.803931,192.168.12.1,192.168.12.167,TCP,53,50066
1745876546.804222,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.804262,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.804283,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.804332,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.80439,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.804487,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.804542,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.804612,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.804659,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50065
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50064
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50064
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50065
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50066
1745876546.810619,192.168.12.1,192.168.12.167,TCP,53,50066
1745876546.817964,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.818187,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819355,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819529,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819529,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819529,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819529,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.819529,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.842109,192.168.12.1,192.168.12.167,TCP,53,50064
1745876546.842468,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.847215,192.168.12.1,192.168.12.167,TCP,53,50064
1745876546.847296,192.168.12.167,192.168.12.1,TCP,50064,53
1745876546.882591,192.168.12.167,52.200.46.145,TCP,61640,443
1745876546.911932,192.168.12.1,192.168.12.167,TCP,53,50065
1745876546.912351,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.917303,192.168.12.1,192.168.12.167,TCP,53,50065
1745876546.917395,192.168.12.167,192.168.12.1,TCP,50065,53
1745876546.926608,52.200.46.145,192.168.12.167,TCP,443,61640
1745876546.94637,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.947892,192.168.12.167,18.155.1.126,TCP,50067,443
1745876546.957004,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.957004,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.957004,192.168.12.1,192.168.12.167,TCP,53,50066
1745876546.957004,192.168.12.1,192.168.12.167,TCP,53,50066
1745876546.957212,192.168.12.167,192.168.12.1,TCP,50066,53
1745876546.957278,192.168.12.167,51.105.71.136,TCP,50063,443
1745876546.978222,18.155.1.126,192.168.12.167,TCP,443,50067
1745876546.978414,192.168.12.167,18.155.1.126,TCP,50067,443
1745876546.979513,192.168.12.167,18.155.1.126,TCP,50067,443
1745876546.979513,192.168.12.167,18.155.1.126,TCP,50067,443
1745876546.997527,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.997527,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.997527,51.105.71.136,192.168.12.167,TCP,443,50063
1745876546.997815,192.168.12.167,51.105.71.136,TCP,50063,443
1745876547.011384,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.023217,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.023217,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.026575,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.02697,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.027396,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.027396,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.027396,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.058008,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.058008,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.058008,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.058305,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.058662,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.062053,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.062053,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.062053,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.10889,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.109118,192.168.12.167,18.155.1.126,TCP,50067,443
1745876547.119904,44.213.176.173,192.168.12.167,TCP,443,62057
1745876547.119904,44.213.176.173,192.168.12.167,TCP,443,62057
1745876547.119904,44.213.176.173,192.168.12.167,TCP,443,62057
1745876547.120145,192.168.12.167,44.213.176.173,TCP,62057,443
1745876547.12021,192.168.12.167,44.213.176.173,TCP,62057,443
1745876547.120284,192.168.12.167,44.213.176.173,TCP,62057,443
1745876547.134981,18.155.1.126,192.168.12.167,TCP,443,50067
1745876547.163262,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876547.1891,44.213.176.173,192.168.12.167,TCP,443,62057
1745876548.187645,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876548.4497,192.168.12.167,20.169.174.231,TCP,61604,443
1745876548.518397,20.169.174.231,192.168.12.167,TCP,443,61604
1745876548.748725,192.168.12.167,140.82.112.25,TCP,62064,443
1745876548.792547,140.82.112.25,192.168.12.167,TCP,443,62064
1745876549.21167,192.168.12.212,230.0.0.1,UDP,51975,6666
1745876550.040034,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.040542,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.048351,192.168.12.1,192.168.12.167,TCP,53,50068
1745876550.048351,192.168.12.1,192.168.12.167,TCP,53,50069
1745876550.048676,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.048738,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.04883,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.048895,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.048996,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.049046,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.055309,192.168.12.1,192.168.12.167,TCP,53,50068
1745876550.055309,192.168.12.1,192.168.12.167,TCP,53,50068
1745876550.055309,192.168.12.1,192.168.12.167,TCP,53,50069
1745876550.055309,192.168.12.1,192.168.12.167,TCP,53,50069
1745876550.079019,192.168.12.1,192.168.12.167,TCP,53,50069
1745876550.079458,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.084607,192.168.12.1,192.168.12.167,TCP,53,50069
1745876550.084767,192.168.12.167,192.168.12.1,TCP,50069,53
1745876550.11082,192.168.12.1,192.168.12.167,TCP,53,50068
1745876550.111222,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.116616,192.168.12.1,192.168.12.167,TCP,53,50068
1745876550.116763,192.168.12.167,192.168.12.1,TCP,50068,53
1745876550.205625,192.168.12.167,192.168.12.1,TCP,50070,53
1745876550.205938,192.168.12.167,192.168.12.1,TCP,50071,53
1745876550.206168,192.168.12.167,192.168.12.1,TCP,50072,53
1745876550.210343,192.168.12.167,192.168.12.1,UDP,54238,53
1745876550.210694,192.168.12.167,192.168.12.1,UDP,56859,53
1745876550.210941,192.168.12.1,192.168.12.167,TCP,53,50071
1745876550.210941,192.168.12.1,192.168.12.167,TCP,53,50070
1745876550.210941,192.168.12.1,192.168.12.167,TCP,53,50072
1745876550.211117,192.168.12.167,192.168.12.1,UDP,50445,53
1745876550.211261,192.168.12.167,192.168.12.1,TCP,50071,53
1745876550.211298,192.168.12.167,192.168.12.1,TCP,50070,53
1745876550.211316,192.168.12.167,192.168.12.1,TCP,50072,53
1745876550.21139,192.168.12.167,192.168.12.1,TCP,50071,53
1745876550.211503,192.168.12.167,192.168.12.1,TCP,50071,53
1745876550.211634,192.168.12.167,192.168.12.1,TCP,50070,53
